timestamp,open,high,low,close,volume
2026-04-15 23:00:00,85.0,85.01,84.67,84.89,2895.823
2026-04-16 00:00:00,84.9,85.06,80.6,84.91,10647.191
2026-04-16 01:00:00,84.89,84.92,84.47,84.77,4659.597
2026-04-16 02:00:00,84.8,85.55,84.73,85.19,5209.997
2026-04-16 03:00:00,85.11,85.46,85.09,85.28,4115.449
2026-04-16 04:00:00,85.26,85.53,85.01,85.24,5909.343
2026-04-16 05:00:00,85.23,85.51,85.07,85.38,3625.391
2026-04-16 06:00:00,85.39,85.53,85.21,85.48,2464.872
2026-04-16 07:00:00,85.48,85.62,85.15,85.21,5148.007
2026-04-16 08:00:00,85.22,85.29,84.9,85.03,2859.476
2026-04-16 09:00:00,85.03,85.5,84.97,85.2,1510.304
2026-04-16 10:00:00,85.19,85.24,84.65,85.05,2416.783
2026-04-16 11:00:00,85.04,85.15,84.95,85.05,2338.623
2026-04-16 12:00:00,85.06,85.47,85.06,85.39,1922.579
2026-04-16 13:00:00,85.39,86.23,83.94,84.76,10166.756
2026-04-16 14:00:00,84.78,85.66,84.11,85.4,9964.124
2026-04-16 15:00:00,85.4,87.08,85.33,86.65,15607.964
2026-04-16 16:00:00,86.65,87.04,85.63,85.97,11722.344
2026-04-16 17:00:00,85.98,86.74,85.76,86.62,7009.883
2026-04-16 18:00:00,86.63,89.03,86.52,89.01,15895.088
2026-04-16 19:00:00,89.01,90.13,88.7,90.11,6477.394
2026-04-16 20:00:00,90.11,90.4,89.27,89.59,3349.711
2026-04-16 21:00:00,89.59,89.73,88.75,88.91,2816.171
2026-04-16 22:00:00,88.91,89.41,88.88,89.01,3090.33
2026-04-16 23:00:00,88.99,89.2,88.84,89.03,2967.868
2026-04-17 00:00:00,89.03,89.18,84.77,88.82,9398.249
2026-04-17 01:00:00,88.81,89.0,87.92,88.28,7035.124
2026-04-17 02:00:00,88.27,88.34,87.57,87.84,3291.675
2026-04-17 03:00:00,87.83,87.96,87.49,87.72,4095.507
2026-04-17 04:00:00,87.7,88.28,87.7,87.97,5452.527
2026-04-17 05:00:00,87.97,88.0,87.43,87.43,5830.905
2026-04-17 06:00:00,87.42,88.08,87.37,87.97,6839.745
